rank	cluster_id	month	cluster_id_mm	issue_name	n_documents
98	4	9	4_09	롯데카드 고객정보 대규모 유출 (9월)	219
98	10	2	10_02	트럼프발 관세전쟁 금융시장 영향 (2월)	219
98	17	3	17_03	트럼프 가상자산 전략비축 추진 (3월)	219
101	7	5	7_05	제주항공 여객기 참사 및 안전성 논란 (5월)	218
101	9	3	9_03	대한항공 CI 변경 및 통합 추진 (3월)	218
101	13	9	13_09	미국 기준금리 인하 결정 (9월)	218
101	62	7	62_07	폭염 영향 농축수산물 가격 상승 (7월)	218
105	39	5	39_05	포스코퓨처엠 대규모 유상증자 (5월)	217
106	9	10	9_10	추석 연휴 공항 이용객 급증 (10월)	211
106	23	10	23_10	정책금융 지방공급 확대 (10월)	211
108	12	10	12_10	한국은행 기준금리 3연속 동결 (10월)	207
108	21	5	21_05	수도권 주담대 한도 축소 (5월)	207
108	25	5	25_05	미국 자동차 관세 부과 영향 (5월)	207
108	25	8	25_08	현대차-GM 차량 공동개발 추진 (8월)	207
108	50	3	50_03	식품업계 전반 가격인상 (3월)	207
113	4	7	4_07	한미 관세협상 농축산물 개방 논의 (7월)	206
113	34	5	34_05	트럼프 정부 관세정책 변화 (5월)	206
115	9	9	9_09	인천공항 면세점 임대료 분쟁 (9월)	205
116	3	9	3_09	KT 소액결제 해킹 피해 확산 (9월)	204
116	26	12	26_12	한국 수출 7000억달러 돌파 (12월)	204
116	47	2	47_02	우리·KB·농협은행 부당대출 적발 (2월)	204
119	24	11	24_11	대기업 연말 임원인사 단행 (11월)	203
120	13	6	13_06	이재명 정부 출범 후 코스피 3000 돌파 (6월)	202
121	10	1	10_01	제주항공 여객기 참사 수습 (1월)	201
121	21	6	21_06	고령층 취업자 700만명 돌파 (6월)	201
121	47	5	47_05	전국 시내버스 노조 파업 추진 (5월)	201
124	9	8	9_08	6·27 대출규제 시행 영향 (8월)	200
124	61	9	61_09	정부 추석 성수품 공급확대 (9월)	200
126	27	8	27_08	노란봉투법 국회 통과 (8월)	199
126	60	10	60_10	K푸드 수출 역대 최대 달성 (10월)	199
128	31	12	31_12	고환율발 물가상승 (12월)	198
129	5	6	5_06	공정위 대한항공 마일리지 통합안 반려 (6월)	196
129	29	1	29_01	트럼프 2기 관세정책 추진 (1월)	196
131	44	6	44_06	국제소비재박람회 개최 (6월)	195
132	2	7	2_07	내년 최저임금 17년만 노사합의 (7월)	194
133	20	2	20_02	연금계좌 해외ETF 이중과세 논란 (2월)	193
134	24	3	24_03	상속세 유산취득세 전환 추진 (3월)	192
134	29	12	29_12	HD현대중공업 통합 출범 (12월)	192
134	51	5	51_05	2025년 주요 산업 박람회 개최 (5월)	192
137	48	6	48_06	광주 시내버스 노조 파업 (6월)	189
138	39	3	39_03	한화에어로 대규모 유상증자 (3월)	188
138	48	2	48_02	11차 전력수급계획 확정 (2월)	188
138	56	12	56_12	에너지전환 정책 추진 (12월)	188
141	31	2	31_02	트럼프발 미국 관세 대응 (2월)	187
142	7	11	7_11	은행권 연말 가계대출 중단 (11월)	185
143	4	11	4_11	누리호 4차 발사 성공 (11월)	184
144	5	10	5_10	이상경 국토차관 갭투자 논란 (10월)	183
145	28	5	28_05	최상목 경제부총리 사퇴 (5월)	182
145	44	12	44_12	공정거래제도 개편 추진 (12월)	182
147	22	3	22_03	청년층 고용지표 악화 (3월)	181
147	52	10	52_10	엔비디아-삼성 등 AI 동맹 체결 (10월)	181
149	59	12	59_12	기업·기관 연말 사회공헌 기부 (12월)	180
150	22	10	22_10	정부 새도약기금 빚 탕감 추진 (10월)	179
150	46	1	46_01	중국 AI 딥시크 등장 영향 (1월)	179
150	47	12	47_12	청년층 고용 감소 지속 (12월)	179
150	57	11	57_11	기업 ESG경영 및 혁신 시상 확대 (11월)	179
154	50	7	50_07	노란봉투법 개정 논란 (7월)	178
155	35	7	35_07	정부 대미 MASGA 조선협력 제안 (7월)	177
155	38	10	38_10	삼성 트라이폴드폰 최초 공개 (10월)	177
157	41	6	41_06	3분기 전기요금 동결 결정 (6월)	176
157	50	10	50_10	전국 가을 지역축제 개최 (10월)	176
159	25	3	25_03	경제6단체 상법개정안 거부권 건의 (3월)	174
160	19	10	19_10	고령층 비정규직 증가 (10월)	173
161	5	5	5_05	체코 원전계약 법원 제동 (5월)	171
162	5	2	5_02	트럼프발 금값 상승과 골드바 품귀 (2월)	170
163	56	11	56_11	기업 사회공헌활동 확대 (11월)	169
164	47	4	47_04	현대차그룹 차세대 하이브리드 공개 (4월)	168
165	42	5	42_05	삼성바이오 인적분할 결정 (5월)	167
166	22	5	22_05	글로벌 금융시장 변동성 확대 (5월)	166
166	28	6	28_06	상법 개정안 국회 처리 추진 (6월)	166
166	35	6	35_06	이재명 정부 2차 추경 편성 (6월)	166
169	30	7	30_07	이재용 부당합병 무죄 확정 (7월)	165
169	46	6	46_06	용산정비창 재개발 수주 경쟁 (6월)	165
171	20	8	20_08	정부 주도 석유화학 구조조정 (8월)	164
172	17	8	17_08	세제개편안 발표 후 증시 변동 (8월)	162
172	39	2	39_02	안성 고속도로 교량 붕괴사고 (2월)	162
172	40	7	40_07	상법 개정안 국회 통과 (7월)	162
175	32	9	32_09	노란봉투법 시행과 노사갈등 (9월)	161
176	41	1	41_01	계엄사태로 인한 고용감소 (1월)	160
177	36	6	36_06	이재명 정부 경제팀 인선 (6월)	159
178	34	8	34_08	한미 마스가 조선협력 추진 (8월)	158
179	18	2	18_02	청년 건설업 일자리 감소 (2월)	157
180	33	6	33_06	바이오USA 참가 기업 글로벌 진출 (6월)	156
180	43	7	43_07	이재명 정부 법인세 인상 추진 (7월)	156
180	60	8	60_08	국가대표 AI 개발 추진 (8월)	156
183	67	9	67_09	산업에너지부 분리 및 에너지정책 이관 (9월)	155
184	12	2	12_02	가계대출 증가 및 금리인하 압박 (2월)	154
184	15	5	15_05	한국은행 기준금리 인하 (5월)	154
184	26	7	26_07	상반기 회사채 발행 증가 (7월)	154
184	30	6	30_06	기업 신용등급 하향 조정 (6월)	154
184	37	10	37_10	EU 철강관세 인상 추진 (10월)	154
189	54	7	54_07	2025년 주요 산업 박람회 개최 (7월)	153
190	10	8	10_08	가계대출 규제 강화 (8월)	152
190	12	5	12_05	한미 환율협상 환율하락 (5월)	152
190	43	12	43_12	이혜훈 기획예산처 장관 지명 (12월)	152
193	0	12	0_12	KT·SKT 해킹 피해 보상 결정 (12월)	151
193	54	2	54_02	딥시크 등장과 글로벌 AI 동맹 추진 (2월)	151
195	60	9	60_09	정부 2차 소비쿠폰 지급 (9월)	150
196	14	12	14_12	미 연준 기준금리 인하 (12월)	149
196	15	7	15_07	6·27 가계대출 규제 시행 (7월)	149
196	28	8	28_08	청년층 취업난 심화 (8월)	149
199	4	8	4_08	아시아나 운임 인상 제재 (8월)	148
199	16	9	16_09	강릉 가뭄 대응 도암댐 방류 (9월)	148
199	53	9	53_09	정부 주도 AI 산업전환 추진 (9월)	148
202	16	5	16_05	KDI·한은 성장률 전망 하향 (5월)	147
202	42	2	42_02	현대로템 모로코 전동차 수주 (2월)	147
204	0	2	0_02	대왕고래 시추 경제성 평가 (2월)	146
204	9	11	9_11	에어버스 A320 리콜 사태 (11월)	146
204	12	1	12_01	제주항공 여객기 조류 충돌 조사 (1월)	146
204	22	12	22_12	업비트 대규모 해킹 사고 (12월)	146
208	27	5	27_05	대선 경제공약 재원 논란 (5월)	145
208	36	11	36_11	한미 조선협력 강화 (11월)	145
208	43	8	43_08	김건희 집사게이트 특검수사 (8월)	145
208	45	4	45_04	ESG경영 및 친환경산업 확산 (4월)	145
208	50	12	50_12	삼성·LG CES 2026 혁신가전 공개 (12월)	145
213	13	2	13_02	잠실·삼성·대치·청담 토지거래허가구역 해제 (2월)	144
213	15	6	15_06	코스피 3,000선 돌파 (6월)	144
213	19	11	19_11	울산화력발전소 붕괴사고 (11월)	144
213	27	3	27_03	정부 산불 피해 10조 추경 추진 (3월)	144
213	37	3	37_03	국내 제약바이오 신약개발 추진 (3월)	144
218	18	6	18_06	원화 스테이블코인 도입 추진 (6월)	142
218	19	6	19_06	금융당국 가계대출 규제 강화 (6월)	142
218	33	8	33_08	삼성·LG IFA 2025 신제품 공개 (8월)	142
221	53	3	53_03	전남 한우농가 구제역 발생 (3월)	141
221	65	7	65_07	집중호우 피해 복구 지원 (7월)	141
223	55	9	55_09	삼성·LG AI홈 유럽 공개 (9월)	140
224	7	8	7_08	사망보험금 연금 전환 정책 (8월)	139
224	22	6	22_06	노동시장 제도개선 추진 (6월)	139
224	27	6	27_06	퇴직연금 적립금 400조 돌파 (6월)	139
227	30	1	30_01	해외주식형 TR ETF 과세 강화 (1월)	138
228	29	5	29_05	우리금융 동양·ABL생명 인수 승인 (5월)	135
228	29	11	29_11	배당소득 분리과세 완화 (11월)	135
228	38	6	38_06	가공식품 가격 인상 (6월)	135
228	54	6	54_06	귀촌 인구 증가와 농촌 활성화 정책 (6월)	135
228	64	7	64_07	농협 집중호우 피해복구 지원 (7월)	135
233	15	4	15_04	광명 신안산선 공사장 붕괴사고 (4월)	134
233	32	6	32_06	현대차그룹 전기차 100만대 판매 (6월)	134
233	46	11	46_11	산업박람회 대규모 개최 (11월)	134
236	23	12	23_12	광주대표도서관 붕괴사고 조사 (12월)	133
236	53	10	53_10	삼성·SK·오픈AI AI동맹 체결 (10월)	133
238	6	1	6_01	에어부산 항공기 화재 발생 (1월)	132
238	45	5	45_05	가공식품·외식 가격 인상 (5월)	132
238	47	6	47_06	여름배추 생산량 감소 (6월)	132
238	56	7	56_07	국내 바이오산업 신약개발 확대 (7월)	132
242	65	9	65_09	2025년 주요 산업 박람회 개최 (9월)	131
243	4	5	4_05	쿠팡 대선일 로켓배송 중단 (5월)	129
243	21	9	21_09	ETF 및 배당주 투자 확대 (9월)	129
243	31	1	31_01	기업은행 불법대출 금감원 검사 (1월)	129
243	46	7	46_07	구윤철 법인세 인상 검토 (7월)	129
243	57	1	57_01	K뷰티 수출액 사상 최대 기록 (1월)	129
243	57	8	57_08	주식 양도세 대주주 기준 논란 (8월)	129
249	8	7	8_07	한국 잠재성장률 1%대 하락 (7월)	128
249	34	7	34_07	포스코이앤씨 연이은 사망사고 대응 (7월)	128
249	39	12	39_12	대기업 임원 세대교체 인사 (12월)	128
249	50	8	50_08	국유지 활용 공공주택 공급 확대 (8월)	128
253	13	4	13_04	보험사기 및 소비자 피해 증가 (4월)	127
253	18	3	18_03	2월 가계대출 급증 (3월)	127
255	43	5	43_05	1분기 건설경기 침체 (5월)	126
256	0	7	0_07	SKT 해킹 피해 위약금 면제 (7월)	125
256	39	6	39_06	공정위 계란값 담합 조사 (6월)	125
256	62	10	62_10	지방 대형 SOC사업 추진 및 재정 부담 (10월)	125
259	22	1	22_01	서울 아파트값 상승세 멈춤 (1월)	124
259	42	7	42_07	삼성 갤럭시Z폴드7 공개 (7월)	124
259	56	8	56_08	이재명정부 첫 확장재정 예산안 (8월)	124
262	2	11	2_11	쿠팡 개인정보 대규모 유출 (11월)	123
263	21	2	21_02	2년 연속 대규모 세수결손 (2월)	122
263	45	2	45_02	공모주 시장 투자심리 위축 (2월)	122
263	55	6	55_06	부산·울산 기업투자 지원 확대 (6월)	122
266	25	6	25_06	삼성전자 AI 가전 신제품 공개 (6월)	120
267	6	12	6_12	철도노조 총파업 예고 (12월)	119
267	32	3	32_03	한미 민감국가 지정 해제 협의 (3월)	119
267	38	12	38_12	금융지주 회장 연임 결정 (12월)	119
270	19	4	19_04	미국 조선업 재건 행정명령 (4월)	118
270	47	10	47_10	기후에너지환경부 출범 및 에너지전환 정책 (10월)	118
272	2	6	2_06	내년 최저임금 단일 적용 결정 (6월)	117
272	12	7	12_07	트럼프 관세정책 환율 영향 (7월)	117
272	21	11	21_11	관세청 해외직구 불법수입 단속 (11월)	117
275	12	3	12_03	공매도 재개에 따른 코스피 변동 (3월)	116
275	22	2	22_02	류진 한경협 회장 연임 (2월)	116
275	43	2	43_02	상장사 밸류업 정책 추진 (2월)	116
275	45	10	45_10	주택공급체계 개편 추진 (10월)	116
275	46	10	46_10	삼성전자 반도체 실적호조 (10월)	116
275	56	1	56_01	유통업계 설 선물세트 판매 (1월)	116
275	58	3	58_03	영남 산불 피해 복구 지원 (3월)	116
282	2	3	2_03	대체거래소 넥스트레이드 출범 (3월)	115
282	11	1	11_01	공항 콘크리트 둔덕 안전개선 (1월)	115
282	18	1	18_01	트럼프 관세정책 환율변동 (1월)	115
282	21	12	21_12	외환당국 환율 구두개입 (12월)	115
282	26	5	26_05	농협 농촌일손돕기 확대 (5월)	115
282	38	7	38_07	현대차 아이오닉6N 공개 (7월)	115
282	41	7	41_07	소상공인 금융지원 대책 (7월)	115
282	45	7	45_07	비상경제점검TF 운영 (7월)	115
282	57	7	57_07	지역주택조합 제도개선 추진 (7월)	115
291	1	6	1_06	SKT 해킹사고 후 신규영업 재개 (6월)	114
291	8	12	8_12	금·은·구리 사상 최고가 경신 (12월)	114
291	11	11	11_11	한국은행 기준금리 동결 (11월)	114
291	17	1	17_01	한국은행 기준금리 동결 (1월)	114
291	51	2	51_02	국내 제약바이오 신약개발 확대 (2월)	114
291	52	4	52_04	분산에너지 특구 지정 추진 (4월)	114
297	21	4	21_04	상법개정안 거부권 행사 (4월)	113
297	40	1	40_01	11차 전력수급기본계획 원전 축소 논의 (1월)	113
297	41	2	41_02	LH 지방 미분양 아파트 매입 (2월)	113
297	41	11	41_11	삼성LG CES 2026 혁신상 수상 (11월)	113
297	44	9	44_09	주병기 공정위원장 취임 (9월)	113
302	0	4	0_04	홈플러스 신용등급 하락 사기 의혹 (4월)	111
302	36	8	36_08	한미정상회담 계기 대미투자 확대 (8월)	111
302	37	8	37_08	포스코이앤씨 중대재해 책임 사임 (8월)	111
302	38	1	38_01	LG CNS 기업공개 추진 (1월)	111
302	48	7	48_07	청년 고용 감소 지속 (7월)	111
302	54	3	54_03	2025년 국내외 산업박람회 개최 (3월)	111
308	1	10	1_10	통신·금융사 해킹 피해 확산 (10월)	110
308	16	11	16_11	비트코인 가격 하락 (11월)	110
308	38	11	38_11	기아 PV5 세계 올해의 밴 수상 (11월)	110
308	55	12	55_12	주택공급 확대 및 도시정비사업 추진 (12월)	110
312	10	10	10_10	비트코인 사상 최고가 경신 (10월)	109
312	14	9	14_09	IMF·OECD 한국 성장률 전망 상향 (9월)	109
312	15	10	15_10	원달러 환율 급등과 당국 구두개입 (10월)	109
312	38	9	38_09	자영업자 대출 연체 증가 (9월)	109
312	39	4	39_04	생성형 AI 도입 확산 (4월)	109
312	42	11	42_11	제약바이오 신약개발 투자확대 (11월)	109
312	63	9	63_09	K뷰티 패션 글로벌 진출 (9월)	109
319	3	1	3_01	고려아연 경영권 분쟁 (1월)	108
319	15	9	15_09	스테이블코인 규제 논의 (9월)	108
319	32	1	32_01	K배터리 업계 동반 적자 (1월)	108
322	5	9	5_09	국가정보자원관리원 화재 (9월)	107
322	15	2	15_02	교통사고 경상환자 합의금 지급 제한 (2월)	107
322	37	12	37_12	코스닥 부실기업 상장폐지 강화 (12월)	107
322	56	9	56_09	공정위 HD현대중공업·현대미포 기업결합 승인 (9월)	107
322	62	12	62_12	2025년 산업혁신 시상 및 포상 (12월)	107
327	7	9	7_09	국제 금값 사상 최고치 경신 (9월)	106
327	8	3	8_03	미국 기준금리 동결 결정 (3월)	106
327	19	12	19_12	코스피 4000선 등락 (12월)	106
327	29	9	29_09	현대차·HD현대중 임단협 타결 (9월)	106
327	38	4	38_04	국내 제약바이오 글로벌 기술수출 확대 (4월)	106
332	14	3	14_03	사망보험금 연금수령제도 도입 (3월)	105
332	35	3	35_03	상법 개정안 국회 통과 (3월)	105
332	37	9	37_09	SK하이닉스 HBM4 세계 최초 양산 (9월)	105
332	49	1	49_01	K바이오 글로벌 진출 확대 (1월)	105
332	49	9	49_09	국내 바이오기업 글로벌 진출 확대 (9월)	105
337	48	1	48_01	외식물가 지속 인상 (1월)	104
338	58	7	58_07	기업 ESG경영 강화 확산 (7월)	103
339	1	5	1_05	더본코리아 논란 대응 조치 (5월)	102
339	7	7	7_07	소비자 피해 증가 및 예방 조치 (7월)	102
339	9	6	9_06	한국은행 통화정책 방향 (6월)	102
339	11	3	11_03	트럼프 관세발 원화 약세 (3월)	102
339	23	4	23_04	미국 반도체 관세 부과 추진 (4월)	102
339	24	12	24_12	한영 FTA 개선협상 타결 (12월)	102
339	40	8	40_08	현대차·배터리 3사 전기차 안전 협력 (8월)	102
339	58	8	58_08	주병기 공정위원장 지명 (8월)	102
339	67	7	67_07	집중호우로 인한 농작물 침수 피해 (7월)	102
348	5	11	5_11	철강·석유화학 구조조정 추진 (11월)	101
348	15	3	15_03	국민연금 보험료율 인상 (3월)	101
348	16	6	16_06	정부 소상공인 빚 탕감 추진 (6월)	101
351	29	7	29_07	비트코인 사상 최고가 경신 (7월)	100
351	51	9	51_09	1기 신도시 정비구역 확대 (9월)	100
353	6	3	6_03	1월 생산소비투자 동반감소 (3월)	99
353	25	1	25_01	은행권 가계대출 금리 인하 (1월)	99
353	30	5	30_05	경제5단체 차기정부 정책제안 (5월)	99
353	42	10	42_10	미중 정상회담 무역합의 (10월)	99
353	52	3	52_03	에너지전환 정책 강화 (3월)	99
358	7	3	7_03	OECD 한국 성장률 하향 (3월)	98
358	18	5	18_05	두나무 이석우 대표 사임 (5월)	98
358	23	1	23_01	트럼프 당선 후 비트코인 급등 (1월)	98
358	28	9	28_09	청년층 고용 감소 지속 (9월)	98
358	31	9	31_09	정부 노동안전대책 강화 (9월)	98
358	44	7	44_07	엔비디아 시총 4조달러 돌파 (7월)	98
358	50	9	50_09	정부 수도권 135만호 주택공급 (9월)	98
358	52	12	52_12	연말정산 세제혜택 확대 (12월)	98
366	16	1	16_01	이창용 한은총재의 최상목 대행 지지 (1월)	97
366	41	8	41_08	미국 반도체 관세 및 지분 요구 (8월)	97
366	41	12	41_12	공정위 과징금 상향 추진 (12월)	97
366	52	9	52_09	대기업 청년 신규채용 확대 (9월)	97
370	11	9	11_09	국세청 체납자 전수조사 (9월)	96
370	39	7	39_07	SK온·SK엔무브 합병 결정 (7월)	96
370	42	9	42_09	쌀값 상승 대응 정부 공급 확대 (9월)	96
370	43	3	43_03	인터배터리 2025 전시회 개최 (3월)	96
374	19	2	19_02	업비트 영업정지 제재 (2월)	95
374	48	3	48_03	한국 조선업 대미 수주 확대 (3월)	95
374	61	8	61_08	이재명 정부 AI 대전환 추진 (8월)	95
377	13	8	13_08	한국경제 성장률 전망 변화 (8월)	94
377	19	8	19_08	국민성장펀드·첨단산업투자 (8월)	94
377	34	10	34_10	9월 소비자물가 상승 (10월)	94
377	37	5	37_05	한미 고위급 관세협상 (5월)	94
381	2	8	2_08	한수원-웨스팅하우스 원전수출 계약 논란 (8월)	93
381	32	11	32_11	자사주 소각 의무화 추진 (11월)	93
381	35	9	35_09	미국발 대미관세 인상 (9월)	93
381	49	6	49_06	지역 농특산물 축제 개최 (6월)	93
381	54	8	54_08	비만치료제 마운자로 국내 출시 (8월)	93
381	56	4	56_04	지역혁신인재·창업지원 확대 (4월)	93
387	37	1	37_01	하나금융 함영주 회장 연임 (1월)	92
388	4	10	4_10	공정위 쿠팡 제재 조치 (10월)	91
388	22	8	22_08	상생페이백 환급제도 시행 (8월)	91
388	33	2	33_02	2025년 주요 산업 박람회 개최 (2월)	91
388	33	5	33_05	미국 관세로 인한 대미수출 감소 (5월)	91
388	44	10	44_10	국내외 바이오의약 신약개발 경쟁 (10월)	91
388	48	11	48_11	농협중앙회 인적쇄신 추진 (11월)	91
388	62	9	62_09	대형마트 추석선물세트 할인판매 (9월)	91
388	69	9	69_09	해수부 부산 이전 추진 (9월)	91
396	10	9	10_09	소비자 피해 및 보험 분쟁 증가 (9월)	90
396	28	1	28_01	2023년 한국 수출액 역대 최대 (1월)	90
396	36	7	36_07	LG엔솔 테슬라 LFP배터리 대규모 수주 (7월)	90
396	48	12	48_12	삼성바이오 미국 생산시설 인수 (12월)	90
396	49	5	49_05	대선 에너지정책 공약 경쟁 (5월)	90
401	8	1	8_01	정부 설 연휴 임시공휴일 지정 (1월)	89
401	22	11	22_11	반도체 주도 수출 증가 (11월)	89
401	28	12	28_12	LG엔솔 포드 배터리 계약 해지 (12월)	89
401	37	7	37_07	현대차그룹 대미 전기차 수출 감소 (7월)	89
405	13	5	13_05	코스피 2600선 등락 지속 (5월)	88
405	25	9	25_09	현대차그룹 미국 관세 대응 전략 (9월)	88
405	31	3	31_03	삼부토건 주가조작 의혹 조사 (3월)	88
405	34	3	34_03	증권사 투자상품 경쟁 확대 (3월)	88
405	48	10	48_10	ADEX 2025 방산항공 협력 확대 (10월)	88
405	64	8	64_08	재생에너지 전환 정책 추진 (8월)	88
411	0	10	0_10	홈플러스 인수전 전개 (10월)	87
411	4	3	4_03	코레일 KTX 운임 인상 추진 (3월)	87
411	16	8	16_08	코스피 3200선 등락 지속 (8월)	87
411	26	8	26_08	HD현대중공업·현대미포 합병 (8월)	87
411	42	1	42_01	2023년 11월 출생아 증가 (1월)	87
411	46	2	46_02	주요 기업 경영진 교체 및 이사회 개편 (2월)	87
411	53	6	53_06	전국민 민생회복 소비쿠폰 지급 (6월)	87
